1949;30.000000
1950;33.599998
1951;32.900002
1952;30.600000
1953;34.599998
1954;30.500000
1955;30.400000
1956;30.200001
1957;27.900000
1958;34.500000
1959;31.400000
1960;32.000000
1961;29.799999
1962;30.500000
1963;33.000000
1964;31.500000
1965;33.200001
1966;30.400000
1967;32.900002
1968;30.900000
1969;28.100000
1970;30.299999
1971;31.000000
1972;31.500000
1973;31.700001
1974;30.000000
1975;32.700001
1976;30.000000
1977;32.799999
1978;30.799999
1979;28.200001
1980;29.600000
1981;30.600000
1982;29.299999
1983;30.200001
1984;37.400002
1985;34.799999
1986;32.400002
1987;30.600000
1988;31.400000
1989;31.900000
1990;33.000000
1991;32.200001
1992;32.799999
1993;31.900000
1994;30.200001
1995;31.600000
1996;31.600000
1997;28.900000
1998;28.700001
1999;33.400002
2000;31.100000
2001;30.000000
2002;31.400000
2003;32.700001
2004;35.099998
2005;29.299999
2006;31.299999
2007;33.099998
2008;33.500000
2009;30.799999
2010;31.600000
2011;32.299999
2012;32.900002
2013;33.099998
2014;35.299999
2015;33.599998
